DATE,Sample2_S,Sample2_I,Sample2_C
2023-09-25,1.08,37,6
2023-10-02,124.19999999999999,78856,795
2023-10-09,103.56,67022,577
2023-10-16,111.07,61547,547
2023-10-23,127.64,76006,647
2023-10-30,90.88,67856,565
2023-11-06,214.99,128104,744
2023-11-13,210.22,139602,823
2023-11-20,146.23,100300,619
2023-11-27,161.26,146262,546
2023-12-04,207.61,146531,514
2023-12-11,194.67000000000002,116668,459
2023-12-18,147.33,99511,460
2023-12-25,9.54,425,64
2024-01-01,192.0,120472,1107
2024-01-08,229.81,159296,1142
2024-01-15,207.46,128804,1000
2024-01-22,168.81,100820,854
2024-01-29,130.47,100615,942
2024-02-05,227.94,232449,1615
2024-02-12,223.98,217413,1393
2024-02-19,194.47,192692,1233
2024-02-26,160.27,167914,992
2024-03-04,186.64000000000001,173335,1113
2024-03-11,161.73000000000002,152985,925
2024-03-18,135.36,129608,806
2024-03-25,171.54,155845,888
2024-04-01,155.07999999999998,149039,868
2024-04-08,138.55,149806,725
2024-04-15,105.35,97881,613
2024-04-22,122.83999999999999,94115,560
2024-04-29,158.83,91762,634
2024-05-06,144.81,88690,559
2024-05-13,114.94,76532,484
2024-05-20,103.8,71325,476
2024-05-27,133.94,129147,633
2024-06-03,164.72,113391,667
2024-06-10,133.73,105700,604
2024-06-17,236.14,148884,745
2024-06-24,157.46,146147,708
